country,account_ownership_pct,account_ownership_female_pct,bank_branches_per_100k,gdp_per_capita_usd,gini_index,labor_force_participation_pct
Tanzania,59.8275253090773,54.9346318215236,2.34773521988818,1186.71691894531,40.5,83.716
Thailand,91.8249814693343,92.7000685235119,8.34902897113053,7346.62022142185,33.3,66.678
Timor-Leste,,,5.36269707911766,1331.9705130185,28.7,66.98
Togo,57.4329534151865,45.3494825153525,4.93154934222167,1119.38160509429,37.9,57.845
Tonga,,,33.0082520630158,5651.59373063157,27.1,49.808
Trinidad and Tobago,74.5920641469519,73.2927431144278,9.30260160084942,18733.4110406494,40.2,57.75
Tunisia,37.8444860328559,26.6074987294777,22.1065341121696,4181.13789301228,33.7,45.219
Turkiye,81.5545478352063,71.6675500449687,14.387062155517,15892.7157287241,43.7,54.379
Turkmenistan,40.5764131969046,35.5171080941356,,6856.65802730208,40.8,42.031
Turks and Caicos Islands,,,,37506.7798431288,,
Tuvalu,,,,6344.7750188689,39.1,
Uganda,72.8273757556063,66.3670902474203,2.25938068005062,1077.91278452817,42.7,80.028
Ukraine,87.581225854266,83.8855969447319,0.38964292068796,5389.47314453125,25.6,54.639
United Arab Emirates,85.7421930087712,86.6829485997078,7.70875672626205,50273.5060469837,26.4,78.594
United Kingdom,99.2843092777584,99.2689870562959,25.1773659740824,53246.3676145108,32.4,61.369
United States,97.0230983290589,97.1092143262693,26.633251130029,84534.0407841548,41.8,61.704
Upper middle income,84.0421009201321,82.4502183993987,11.9369570128276,10996.101696107,,62.6261945172743
Uruguay,73.7451275567861,73.2856919264603,8.95230685487843,23906.5133029408,40.0,64.99
Uzbekistan,59.6583830145186,60.7039265407325,54.2776735777064,3161.70010632875,32.7,57.499
Vanuatu,,,21.0808837517803,3410.77023167097,32.3,58.111
"Venezuela, RB",87.3184627954851,87.7033336249902,16.5332334469819,4217.59102643391,44.7,51.927
Viet Nam,70.5507533567583,69.8844155477409,3.06182730321506,4717.29028732449,36.1,72.778
Virgin Islands (U.S.),,,,44320.909185774,,54.356
West Bank and Gaza,39.6209836077699,27.7345491731852,12.4991363662058,2592.30591217647,36.4,44.991
World,78.7424041479406,76.6330384569803,12.295841805751,13631.2043097215,,60.9792598100467
"Yemen, Rep.",11.9033656433415,5.43631354617772,1.62261190502083,633.887202451545,36.7,33.103
Zambia,72.7024245599811,70.172074871881,2.70133490529461,1187.10943350064,51.5,61.933
Zimbabwe,49.5216018025126,46.9940182067327,5.39543516043331,2497.20332208763,50.3,67.718
